Product Name;Store;Price;Package Weight in g;Calories per 100g;Protein per 100g;Fat per 100g;Carbs per 100g;category
Cucumbers Mirinda;Arbuz.kz;1 270;1000;15;0.8;0.1;2,50;veg_fruit
Cucumbers Rava Green Land ;Arbuz.kz;840;600;21;1,24;0.35;3,78;veg_fruit
Strawberry tomatoes;Arbuz.kz;775;500;20;0.8;0,2;3,90;veg_fruit
Green asparagus;Arbuz.kz;2065;150;21;1,90;0,1;3,10;veg_fruit
Mini carrots;Arbuz.kz;2015;520;35;1,30;0,1;7,20;veg_fruit
Pepper half-spicy red ;Arbuz.kz;910;500;40;1,84;0,44;7,31;veg_fruit
Kohlrabi cabbage;Arbuz.kz;4438;500;27;1,70;0,1;6,00;veg_fruit
Green beans;Arbuz.kz;3795;250;24;2,00;0,2;3,60;veg_fruit
Onion shalot;Arbuz.kz;1840;250;72;2,50;0,1;13,60;veg_fruit
Mini cattots Моркошка;Arbuz.kz;1185;280;35;1,30;0,1;7,20;veg_fruit
Agro fresh peeled potatoes;Arbuz.kz;670;450;77;2,00;0,4;16,30;veg_fruit
Comato tomatoes ;Arbuz.kz;5490;500;;;;;veg_fruit
Cherry tomatoes yellow;Arbuz.kz;3080;250;15;1,00;2;4,00;veg_fruit
Cherry tomatoes red ;Arbuz.kz;2815;250;18;0,88;0,2;3,92;veg_fruit
Potatoes Truffe de Chine;Arbuz.kz;3803;500;137;;;;veg_fruit
Potatoes Kazakhstan ;Arbuz.kz;290;1000;;;;;veg_fruit
Картофель отборный Казахстан в сетке;Arbuz.kz;1065;3000;;;;;veg_fruit
Baby potatoes young;Arbuz.kz;1200;1000;80;2,00;0;18,10;veg_fruit
Томаты красные;Arbuz.kz;548;500;20;1,10;0,2;3,70;veg_fruit
Chopped onion Arbuz Select;Arbuz.kz;645;200;47;1,40;0;10,40;veg_fruit
Чеснок молодой;Arbuz.kz;270;200;;;;;veg_fruit
Чесночные стрелки;Arbuz.kz;377;200;;;;;veg_fruit
Лук красный;Arbuz.kz;155;500;;;;;veg_fruit
Onion;Arbuz.kz;135;1000;;;;;veg_fruit
Carrots in a grid;Arbuz.kz;810;3000;35;1,30;0,1;6,90;veg_fruit
Agro fresh peeled, boiled;Arbuz.kz;490;350;35;3,00;0,1;7,20;veg_fruit
Cayenne pepper Thailand;Arbuz.kz;1925;150;;;;;veg_fruit
Pepper swallow mix;Arbuz.kz;1028;500;22;1,20;0,1;4,80;veg_fruit
Перец Светофор зелёный;Arbuz.kz;838;500;29;1,00;0,3;6,50;veg_fruit
Перец Светофор жёлтый;Arbuz.kz;773;500;;;;;veg_fruit
Flamingo pepper;Arbuz.kz;1083;500;27;1,30;0,1;5,30;veg_fruit
Перец Светофор красный;Arbuz.kz;773;500;29;0,10;0,3;6,50;veg_fruit
Pumpkin Japanese;Arbuz.kz;1085;3500;22;1,00;0,1;4,40;veg_fruit
Капуста пекинская ;Arbuz.kz;200;450;16;1,20;0,2;3,00;veg_fruit
Pumpkin chamomile;Arbuz.kz;1950;7500;22;1,00;0,1;4,40;veg_fruit
Капуста краснокочанная молодая;Arbuz.kz;900;1500;;;;;veg_fruit
Капуста белокочанная молодая;Arbuz.kz;374;2200;;;;;veg_fruit
Cauliflower;Arbuz.kz;1050;1000;25;2,00;0,3;5,00;veg_fruit
Cauliflower;Arbuz.kz;1890;2000;25;2,00;0,3;5,00;veg_fruit
